seqid	source	type	start	end	score	strand	phase	ID	Name	collected-by	culture-collection	gbkey	strain	type-material	gene_biotype	locus_tag	old_locus_tag	Parent	Ontology_term	go_function	go_process	product	protein_id	gene	go_component	anticodon	bound_moiety	regulatory_class	gene_synonym	partial	transl_except	rpt_family	rpt_unit_range	rpt_unit_seq
NZ_CP065640.1	tRNAscan-SE	exon	15982	16057	.	+	.	exon-I6G83_RS00090-1				tRNA				I6G83_RS00090		rna-I6G83_RS00090				tRNA-Val				(pos:16015..16017)								
NZ_CP065640.1	RefSeq	gene	16097	16172	.	+	.	gene-I6G83_RS00095	I6G83_RS00095			Gene			tRNA	I6G83_RS00095	I6G83_00095																	
NZ_CP065640.1	tRNAscan-SE	tRNA	16097	16172	.	+	.	rna-I6G83_RS00095				tRNA				I6G83_RS00095		gene-I6G83_RS00095				tRNA-Val				(pos:16130..16132)								
NZ_CP065640.1	tRNAscan-SE	exon	16097	16172	.	+	.	exon-I6G83_RS00095-1				tRNA				I6G83_RS00095		rna-I6G83_RS00095				tRNA-Val				(pos:16130..16132)								
NZ_CP065640.1	RefSeq	gene	16180	16255	.	+	.	gene-I6G83_RS00100	I6G83_RS00100			Gene			tRNA	I6G83_RS00100	I6G83_00100																	
NZ_CP065640.1	tRNAscan-SE	tRNA	16180	16255	.	+	.	rna-I6G83_RS00100				tRNA				I6G83_RS00100		gene-I6G83_RS00100				tRNA-Lys				(pos:16213..16215)								
NZ_CP065640.1	tRNAscan-SE	exon	16180	16255	.	+	.	exon-I6G83_RS00100-1				tRNA				I6G83_RS00100		rna-I6G83_RS00100				tRNA-Lys				(pos:16213..16215)								
NZ_CP065640.1	RefSeq	gene	16331	16456	.	+	.	gene-I6G83_RS00105	I6G83_RS00105			Gene			ncRNA	I6G83_RS00105	I6G83_00105																	
NZ_CP065640.1	cmsearch	ncRNA	16331	16456	.	+	.	rna-I6G83_RS00105				ncRNA				I6G83_RS00105		gene-I6G83_RS00105				RtT sRNA												
NZ_CP065640.1	cmsearch	exon	16331	16456	.	+	.	exon-I6G83_RS00105-1				ncRNA				I6G83_RS00105		rna-I6G83_RS00105				RtT sRNA												
NZ_CP065640.1	RefSeq	gene	16856	17611	.	-	.	gene-I6G83_RS00110	dhbA			Gene			protein_coding	I6G83_RS00110	I6G83_00110							dhbA										
NZ_CP065640.1	Protein Homology	CDS	16856	17611	.	-	0	cds-WP_054306679.1	WP_054306679.1			CDS				I6G83_RS00110		gene-I6G83_RS00110	GO:0019290,GO:0008667	2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase activity|0008667||IEA	siderophore biosynthetic process|0019290||IEA	2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase	WP_054306679.1	dhbA										
NZ_CP065640.1	RefSeq	gene	17608	18474	.	-	.	gene-I6G83_RS00115	I6G83_RS00115			Gene			protein_coding	I6G83_RS00115	I6G83_00115																	
NZ_CP065640.1	Protein Homology	CDS	17608	18474	.	-	0	cds-WP_054306680.1	WP_054306680.1			CDS				I6G83_RS00115		gene-I6G83_RS00115				isochorismatase family protein	WP_054306680.1											
NZ_CP065640.1	RefSeq	gene	18478	20109	.	-	.	gene-I6G83_RS00120	I6G83_RS00120			Gene			protein_coding	I6G83_RS00120	I6G83_00120																	
NZ_CP065640.1	Protein Homology	CDS	18478	20109	.	-	0	cds-WP_054306681.1	WP_054306681.1			CDS				I6G83_RS00120		gene-I6G83_RS00120	GO:0019290,GO:0008668	(2%2C3-dihydroxybenzoyl)adenylate synthase activity|0008668||IEA	siderophore biosynthetic process|0019290||IEA	(2%2C3-dihydroxybenzoyl)adenylate synthase	WP_054306681.1											
NZ_CP065640.1	RefSeq	gene	20117	21325	.	-	.	gene-I6G83_RS00125	I6G83_RS00125			Gene			protein_coding	I6G83_RS00125	I6G83_00125																	
NZ_CP065640.1	Protein Homology	CDS	20117	21325	.	-	0	cds-WP_054306682.1	WP_054306682.1			CDS				I6G83_RS00125		gene-I6G83_RS00125	GO:0009234,GO:0008909,GO:0005737	isochorismate synthase activity|0008909||IEA	menaquinone biosynthetic process|0009234||IEA	isochorismate synthase	WP_054306682.1		cytoplasm|0005737||IEA									
NZ_CP065640.1	RefSeq	gene	21560	22510	.	+	.	gene-I6G83_RS00130	fepB			Gene			protein_coding	I6G83_RS00130	I6G83_00130							fepB										
NZ_CP065640.1	Protein Homology	CDS	21560	22510	.	+	0	cds-WP_082394674.1	WP_082394674.1			CDS				I6G83_RS00130		gene-I6G83_RS00130				Fe2+-enterobactin ABC transporter substrate-binding protein	WP_082394674.1	fepB										
NZ_CP065640.1	RefSeq	gene	22497	23768	.	-	.	gene-I6G83_RS00135	entS			Gene			protein_coding	I6G83_RS00135	I6G83_00135							entS										
NZ_CP065640.1	Protein Homology	CDS	22497	23768	.	-	0	cds-WP_054306693.1	WP_054306693.1			CDS				I6G83_RS00135		gene-I6G83_RS00135	GO:0042930,GO:0042931	enterobactin transmembrane transporter activity|0042931||IEA	enterobactin transport|0042930||IEA	enterobactin transporter EntS	WP_054306693.1	entS										
NZ_CP065640.1	RefSeq	gene	23905	24981	.	+	.	gene-I6G83_RS00140	fepD			Gene			protein_coding	I6G83_RS00140	I6G83_00140							fepD										
NZ_CP065640.1	Protein Homology	CDS	23905	24981	.	+	0	cds-WP_054306684.1	WP_054306684.1			CDS				I6G83_RS00140		gene-I6G83_RS00140	GO:0022857,GO:0016020	transmembrane transporter activity|0022857||IEA		Fe(3+)-siderophore ABC transporter permease	WP_054306684.1	fepD	membrane|0016020||IEA									
NZ_CP065640.1	RefSeq	gene	24978	26003	.	+	.	gene-I6G83_RS00145	fepG			Gene			protein_coding	I6G83_RS00145	I6G83_00145							fepG										
NZ_CP065640.1	Protein Homology	CDS	24978	26003	.	+	0	cds-WP_054306685.1	WP_054306685.1			CDS				I6G83_RS00145		gene-I6G83_RS00145	GO:0022857	transmembrane transporter activity|0022857||IEA		iron-enterobactin ABC transporter permease	WP_054306685.1	fepG										
NZ_CP065640.1	RefSeq	gene	26000	26803	.	+	.	gene-I6G83_RS00150	I6G83_RS00150			Gene			protein_coding	I6G83_RS00150	I6G83_00150																	
NZ_CP065640.1	Protein Homology	CDS	26000	26803	.	+	0	cds-WP_054306686.1	WP_054306686.1			CDS				I6G83_RS00150		gene-I6G83_RS00150	GO:0005524	ATP binding|0005524||IEA		ATP-binding cassette domain-containing protein	WP_054306686.1											
NZ_CP065640.1	RefSeq	gene	26958	30854	.	-	.	gene-I6G83_RS00155	I6G83_RS00155			Gene			protein_coding	I6G83_RS00155	I6G83_00155																	
NZ_CP065640.1	Protein Homology	CDS	26958	30854	.	-	0	cds-WP_174545419.1	WP_174545419.1			CDS				I6G83_RS00155		gene-I6G83_RS00155				enterobactin synthase subunit F	WP_174545419.1											
NZ_CP065640.1	RefSeq	gene	30920	31129	.	-	.	gene-I6G83_RS00160	I6G83_RS00160			Gene			protein_coding	I6G83_RS00160	I6G83_00160																	
NZ_CP065640.1	Protein Homology	CDS	30920	31129	.	-	0	cds-WP_054306688.1	WP_054306688.1			CDS				I6G83_RS00160		gene-I6G83_RS00160				MbtH family protein	WP_054306688.1											
NZ_CP065640.1	RefSeq	gene	31107	32489	.	-	.	gene-I6G83_RS00165	fes			Gene			protein_coding	I6G83_RS00165	I6G83_00165							fes										
NZ_CP065640.1	Protein Homology	CDS	31107	32489	.	-	0	cds-WP_072186144.1	WP_072186144.1			CDS				I6G83_RS00165		gene-I6G83_RS00165	GO:0005506,GO:0008849	iron ion binding|0005506||IEA,enterochelin esterase activity|0008849||IEA		enterochelin esterase	WP_072186144.1	fes										
NZ_CP065640.1	RefSeq	gene	32803	35088	.	+	.	gene-I6G83_RS00170	I6G83_RS00170			Gene			protein_coding	I6G83_RS00170	I6G83_00170																	
NZ_CP065640.1	Protein Homology	CDS	32803	35088	.	+	0	cds-WP_054306689.1	WP_054306689.1			CDS				I6G83_RS00170		gene-I6G83_RS00170	GO:0015891,GO:0015343,GO:0038023,GO:0009279	siderophore-iron transmembrane transporter activity|0015343||IEA,signaling receptor activity|0038023||IEA	siderophore transport|0015891||IEA	TonB-dependent siderophore receptor	WP_054306689.1		cell outer membrane|0009279||IEA									
NZ_CP065640.1	RefSeq	gene	35225	36910	.	-	.	gene-I6G83_RS00175	alsS			Gene			protein_coding	I6G83_RS00175	I6G83_00175							alsS										
NZ_CP065640.1	Protein Homology	CDS	35225	36910	.	-	0	cds-WP_054306690.1	WP_054306690.1			CDS				I6G83_RS00175		gene-I6G83_RS00175	GO:0034077,GO:0000287,GO:0003984,GO:0030976	magnesium ion binding|0000287||IEA,acetolactate synthase activity|0003984||IEA,thiamine pyrophosphate binding|0030976||IEA	butanediol metabolic process|0034077||IEA	acetolactate synthase AlsS	WP_054306690.1	alsS										
NZ_CP065640.1	RefSeq	gene	36980	37759	.	-	.	gene-I6G83_RS00180	budA			Gene			protein_coding	I6G83_RS00180	I6G83_00180							budA										
NZ_CP065640.1	Protein Homology	CDS	36980	37759	.	-	0	cds-WP_041411843.1	WP_041411843.1			CDS				I6G83_RS00180		gene-I6G83_RS00180	GO:0006113,GO:0045151,GO:0047605	acetolactate decarboxylase activity|0047605||IEA	fermentation|0006113||IEA,acetoin biosynthetic process|0045151||IEA	acetolactate decarboxylase	WP_041411843.1	budA										
NZ_CP065640.1	RefSeq	gene	38151	39053	.	+	.	gene-I6G83_RS00185	I6G83_RS00185			Gene			protein_coding	I6G83_RS00185	I6G83_00185																	
NZ_CP065640.1	Protein Homology	CDS	38151	39053	.	+	0	cds-WP_054306691.1	WP_054306691.1			CDS				I6G83_RS00185		gene-I6G83_RS00185	GO:0001216	DNA-binding transcription activator activity|0001216||IEA		LysR family transcriptional regulator	WP_054306691.1											
NZ_CP065640.1	RefSeq	gene	39116	39664	.	+	.	gene-I6G83_RS00190	I6G83_RS00190			Gene			protein_coding	I6G83_RS00190	I6G83_00190																	
NZ_CP065640.1	Protein Homology	CDS	39116	39664	.	+	0	cds-WP_062779336.1	WP_062779336.1			CDS				I6G83_RS00190		gene-I6G83_RS00190				nucleotidyltransferase family protein	WP_062779336.1											
NZ_CP065640.1	RefSeq	gene	39724	40164	.	+	.	gene-I6G83_RS00195	I6G83_RS00195			Gene			protein_coding	I6G83_RS00195	I6G83_00195																	
NZ_CP065640.1	Protein Homology	CDS	39724	40164	.	+	0	cds-WP_054307307.1	WP_054307307.1			CDS				I6G83_RS00195		gene-I6G83_RS00195				FlxA-like family protein	WP_054307307.1											
NZ_CP065640.1	RefSeq	gene	40167	41087	.	-	.	gene-I6G83_RS00200	I6G83_RS00200			Gene			protein_coding	I6G83_RS00200	I6G83_00200																	
NZ_CP065640.1	Protein Homology	CDS	40167	41087	.	-	0	cds-WP_041412177.1	WP_041412177.1			CDS				I6G83_RS00200		gene-I6G83_RS00200	GO:0006355,GO:0003677,GO:0003700,GO:0005829	DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA	LysR family transcriptional regulator	WP_041412177.1		cytosol|0005829||IEA									
NZ_CP065640.1	RefSeq	gene	41185	42174	.	+	.	gene-I6G83_RS00205	I6G83_RS00205			Gene			protein_coding	I6G83_RS00205	I6G83_00205																	
NZ_CP065640.1	Protein Homology	CDS	41185	42174	.	+	0	cds-WP_054307309.1	WP_054307309.1			CDS				I6G83_RS00205		gene-I6G83_RS00205	GO:0006810,GO:0015293,GO:0016020	symporter activity|0015293||IEA	transport|0006810||IEA	bile acid:sodium symporter family protein	WP_054307309.1		membrane|0016020||IEA									
NZ_CP065640.1	RefSeq	gene	42206	42421	.	-	.	gene-I6G83_RS00210	I6G83_RS00210			Gene			protein_coding	I6G83_RS00210	I6G83_00210																	
NZ_CP065640.1	Protein Homology	CDS	42206	42421	.	-	0	cds-WP_015673278.1	WP_015673278.1			CDS				I6G83_RS00210		gene-I6G83_RS00210				DUF3820 family protein	WP_015673278.1											
NZ_CP065640.1	RefSeq	gene	42421	44442	.	-	.	gene-I6G83_RS00215	ligA			Gene			protein_coding	I6G83_RS00215	I6G83_00215							ligA										
NZ_CP065640.1	Protein Homology	CDS	42421	44442	.	-	0	cds-WP_054307306.1	WP_054307306.1			CDS				I6G83_RS00215		gene-I6G83_RS00215	GO:0006260,GO:0006281,GO:0003677,GO:0003911	DNA binding|0003677||IEA,DNA ligase (NAD+) activity|0003911||IEA	DNA replication|0006260||IEA,DNA repair|0006281||IEA	NAD-dependent DNA ligase LigA	WP_054307306.1	ligA										
NZ_CP065640.1	RefSeq	gene	44520	45521	.	-	.	gene-I6G83_RS00220	zipA			Gene			protein_coding	I6G83_RS00220	I6G83_00220							zipA										
NZ_CP065640.1	Protein Homology	CDS	44520	45521	.	-	0	cds-WP_054307305.1	WP_054307305.1			CDS				I6G83_RS00220		gene-I6G83_RS00220	GO:0000917,GO:0005515	protein binding|0005515||IEA	division septum assembly|0000917||IEA	cell division protein ZipA	WP_054307305.1	zipA										
NZ_CP065640.1	RefSeq	gene	45745	46506	.	+	.	gene-I6G83_RS00225	cysZ			Gene			protein_coding	I6G83_RS00225	I6G83_00225							cysZ										
NZ_CP065640.1	Protein Homology	CDS	45745	46506	.	+	0	cds-WP_054307304.1	WP_054307304.1			CDS				I6G83_RS00225		gene-I6G83_RS00225	GO:0000103,GO:0015116,GO:0005886	sulfate transmembrane transporter activity|0015116||IEA	sulfate assimilation|0000103||IEA	sulfate transporter CysZ	WP_054307304.1	cysZ	plasma membrane|0005886||IEA									
NZ_CP065640.1	RefSeq	gene	46747	47715	.	+	.	gene-I6G83_RS00230	cysK			Gene			protein_coding	I6G83_RS00230	I6G83_00230							cysK										
NZ_CP065640.1	Protein Homology	CDS	46747	47715	.	+	0	cds-WP_015673282.1	WP_015673282.1			CDS				I6G83_RS00230		gene-I6G83_RS00230	GO:0006535,GO:0004124	cysteine synthase activity|0004124||IEA	cysteine biosynthetic process from serine|0006535||IEA	cysteine synthase A	WP_015673282.1	cysK										
NZ_CP065640.1	RefSeq	gene	48119	48376	.	+	.	gene-I6G83_RS00235	ptsH			Gene			protein_coding	I6G83_RS00235	I6G83_00235							ptsH										
NZ_CP065640.1	Protein Homology	CDS	48119	48376	.	+	0	cds-WP_000487600.1	WP_000487600.1			CDS				I6G83_RS00235		gene-I6G83_RS00235				phosphocarrier protein Hpr	WP_000487600.1	ptsH										
NZ_CP065640.1	RefSeq	gene	48423	50150	.	+	.	gene-I6G83_RS00240	ptsI			Gene			protein_coding	I6G83_RS00240	I6G83_00240							ptsI										
NZ_CP065640.1	Protein Homology	CDS	48423	50150	.	+	0	cds-WP_054307303.1	WP_054307303.1			CDS				I6G83_RS00240		gene-I6G83_RS00240				phosphoenolpyruvate-protein phosphotransferase PtsI	WP_054307303.1	ptsI										
NZ_CP065640.1	RefSeq	gene	50200	50709	.	+	.	gene-I6G83_RS00245	crr			Gene			protein_coding	I6G83_RS00245	I6G83_00245							crr										
NZ_CP065640.1	Protein Homology	CDS	50200	50709	.	+	0	cds-WP_015673284.1	WP_015673284.1			CDS				I6G83_RS00245		gene-I6G83_RS00245	GO:0009401		phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA	PTS glucose transporter subunit IIA	WP_015673284.1	crr										
NZ_CP065640.1	RefSeq	gene	50752	52071	.	-	.	gene-I6G83_RS00250	I6G83_RS00250			Gene			protein_coding	I6G83_RS00250	I6G83_00250																	
NZ_CP065640.1	Protein Homology	CDS	50752	52071	.	-	0	cds-WP_054307308.1	WP_054307308.1			CDS				I6G83_RS00250		gene-I6G83_RS00250				ATP-binding protein	WP_054307308.1											
NZ_CP065640.1	RefSeq	gene	52077	52757	.	-	.	gene-I6G83_RS00255	I6G83_RS00255			Gene			protein_coding	I6G83_RS00255	I6G83_00255																	
NZ_CP065640.1	Protein Homology	CDS	52077	52757	.	-	0	cds-WP_015673286.1	WP_015673286.1			CDS				I6G83_RS00255		gene-I6G83_RS00255	GO:0000160,GO:0006355,GO:0003677	DNA binding|0003677||IEA	phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA	response regulator transcription factor	WP_015673286.1											
NZ_CP065640.1	RefSeq	gene	53022	53711	.	-	.	gene-I6G83_RS00260	I6G83_RS00260			Gene			protein_coding	I6G83_RS00260	I6G83_00260																	
NZ_CP065640.1	Protein Homology	CDS	53022	53711	.	-	0	cds-WP_225365592.1	WP_225365592.1			CDS				I6G83_RS00260		gene-I6G83_RS00260				SDR family oxidoreductase	WP_225365592.1											
NZ_CP065640.1	RefSeq	gene	53844	54725	.	-	.	gene-I6G83_RS00265	cysM			Gene			protein_coding	I6G83_RS00265	I6G83_00265							cysM										
NZ_CP065640.1	Protein Homology	CDS	53844	54725	.	-	0	cds-WP_054307301.1	WP_054307301.1			CDS				I6G83_RS00265		gene-I6G83_RS00265	GO:0006535,GO:0004124	cysteine synthase activity|0004124||IEA	cysteine biosynthetic process from serine|0006535||IEA	cysteine synthase CysM	WP_054307301.1	cysM										
NZ_CP065640.1	RefSeq	gene	54804	55892	.	-	.	gene-I6G83_RS00270	cysA			Gene			protein_coding	I6G83_RS00270	I6G83_00270							cysA										
NZ_CP065640.1	Protein Homology	CDS	54804	55892	.	-	0	cds-WP_015673288.1	WP_015673288.1			CDS				I6G83_RS00270		gene-I6G83_RS00270	GO:0008272,GO:0005524,GO:0015419,GO:0016020,GO:0043190	ATP binding|0005524||IEA,ABC-type sulfate transporter activity|0015419||IEA	sulfate transport|0008272||IEA	sulfate/thiosulfate ABC transporter ATP-binding protein CysA	WP_015673288.1	cysA	membrane|0016020||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA									
NZ_CP065640.1	RefSeq	gene	55889	56758	.	-	.	gene-I6G83_RS00275	cysW			Gene			protein_coding	I6G83_RS00275	I6G83_00275							cysW										
NZ_CP065640.1	Protein Homology	CDS	55889	56758	.	-	0	cds-WP_054307300.1	WP_054307300.1			CDS				I6G83_RS00275		gene-I6G83_RS00275	GO:0008272,GO:0055085,GO:0015419,GO:0016020	ABC-type sulfate transporter activity|0015419||IEA	sulfate transport|0008272||IEA,transmembrane transport|0055085||IEA	sulfate/thiosulfate ABC transporter permease CysW	WP_054307300.1	cysW	membrane|0016020||IEA									
NZ_CP065640.1	RefSeq	gene	56758	57597	.	-	.	gene-I6G83_RS00280	cysT			Gene			protein_coding	I6G83_RS00280	I6G83_00280							cysT										
NZ_CP065640.1	Protein Homology	CDS	56758	57597	.	-	0	cds-WP_015673290.1	WP_015673290.1			CDS				I6G83_RS00280		gene-I6G83_RS00280	GO:0008272,GO:0055085,GO:0015419,GO:0016020	ABC-type sulfate transporter activity|0015419||IEA	sulfate transport|0008272||IEA,transmembrane transport|0055085||IEA	sulfate/thiosulfate ABC transporter permease CysT	WP_015673290.1	cysT	membrane|0016020||IEA									
NZ_CP065640.1	RefSeq	gene	57597	58619	.	-	.	gene-I6G83_RS00285	I6G83_RS00285			Gene			protein_coding	I6G83_RS00285	I6G83_00285																	
